2028,23,19,13,14,0,0,28
2000,22,0,10,0,0,15,20
2001,20,0,0,10,0,15,0
2004,15,0,9.5,13,10,18,30
2005,23,18,13,15,8,19,41
2006,14,8,10,6,9,20,38.5
2007,18,17,11,18,13,21,27
2008,23,21,12.5,18,16,22,32.5
2010,22,20,12,18,0,23,28
2009,21,21,0,10,14,23,34.5
2011,20,21,12,15,15,23,35
2012,24,16,11,14,18,23.5,44.5
2013,23,21,13,17,12,24,47
2014,17,20,13,13,13,24,23.5
2015,13,10,11,12,13,24,26
2016,24,22,12,18,16,24,45
2018,23,16,11,7,9,25,24
2020,23,13,9,16,10,25,30
2017,20,20,13,15,12,25,53
2019,20,22,12,11,14,25,49
2021,21,22,12,17,16,25,54.5
2023,18,19,9,0,0,26,33
2025,21,0,0,0,0,26,31.5
2022,21,21,13,9,13,26,53
2024,20,12,12,14,15,26,45.5
2026,24,20,13,18,18,26.5,59.5
2029,24,22,13,18,0,27,46.5
2030,20,20,11,6.5,4,27,40
2033,23,19,11,16,7,27,42.5
2036,20,21,13,13,11,27,37
2027,17,16,8,7,16,27,45.5
2031,23,22,13,15,17,27,49
2032,22,19,12,18,18,27,42.5
2034,22,23,11,16,18,27,44.5
2035,23,19,13,18,18,27,53.5
2039,21,21,12,16,0,28,34.5
2043,23,20,11,13,0,28,33.5
2037,21,19,13,16.5,5,28,36
2041,22,18,13,11,16,28,55
2038,23,20,13,17,17,28,36
2040,22,22,13,18,18,28,53.5
2042,19,21,13,15,18,28,51
2046,24,22,13,18,0,29,44.5
2051,21,23,11.5,8,0,29,35.5
2056,22,19,13,18,13,29,34.5
2054,24,23,12.5,13,13.5,29,40.5
2047,24,22,13,15,14,29,45
2055,21,21,13,17,15,29,43
2049,22,21,11,15,16,29,34
2053,20,22,11,18,16,29,58
2044,24,23,13,15,18,29,57.5
2045,24,21,13,18,18,29,58.5
2048,24,23,13,18,18,29,55.5
2050,18,23,13,13,18,29,41
2052,24,20.5,11,18,18,29,46.5
2057,0,17,12,0,0,30,39
2058,23,16.5,7,0,0,30,34.5
2059,23,19,13,18,18,30,60
2060,24,19,13,18,18,30,53
2066,21,23,13,18,12,31,51
2061,23,19,12,10,15,31,56
2067,24,23,11.5,14,15,31,63.5
2064,24,15,11,18,16,31,46
2065,24,23,13,18,17,31,61.5
2068,24,22,13,17,17,31,50
2062,24,23,13,18,18,31,54.5
2063,24,16,13,15,18,31,45
2069,23,23,12,18,18,31,60
2070,19,0,12,12,18,31,49
2071,23,22,13,16,18,31,57.5
2072,24,21,12,14,8,31.5,51.5
2073,22,21,11,15,0,32,60.5
2078,24,20,13,14,10.5,32,53.5
2089,20,22,11,12,14,32,45
2086,24,22,13,18,15,32,43.5
2090,24,23,13,18,15,32,49.5
2074,22,17,13,16,16,32,58.5
2079,24,21,13,16,16,32,48
2082,24,21,11,0,16,32,61.5
2076,22,22,13,18,17,32,38.5
2080,23,17,13,17,17,32,53.5
2084,24,21,13,18,17,32,57.5
2075,22,23,13,18,18,32,62.5
2077,22,23,13,16,18,32,61.5
2081,24,23,13,18,18,32,53
2083,24,19,13,18,18,32,61.5
2085,22,23,13,17,18,32,63
2087,23,21,13,18,18,32,49.5
2088,23,23,11,17,18,32,48
2091,24,22,13,18,13,32.5,58
2092,20,23,13,18,18,32.5,57
2095,24,22,13,17,0,33,45
2099,24,22,13,0,0,33,53
2096,23,22,12,0,16,33,62
2100,17,18,10,18,16,33,56
2098,23,21,13,16,17,33,49
2093,24,23,13,18,18,33,60.5
2094,24,22,13,17,18,33,61.5
2097,24,22,13,18,18,33,60
2101,13,14,13,13,18,33,52
2102,22,22,13,13,17,34,59.5
2103,20,16.5,11,18,18,34,56.5
2104,24,23,13,16,18,34,43
